0_Name_of_Disease,1_Disease_URL,2_Image_of_Disease_URL
Epidermal and pilar cyst images,https://dermnetnz.org/topics/epidermoid-and-trichilemmal-cyst-images,https://dermnetnz.org/assets/Uploads/cyst16-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Epiloia images,https://dermnetnz.org/topics/tuberous-sclerosis-images,https://dermnetnz.org/assets/Uploads/angiofibromas-19-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Epiloia images,https://dermnetnz.org/topics/tuberous-sclerosis-images,https://dermnetnz.org/assets/Uploads/tuberous-sclerosis05-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Erythema infectiosum images,https://dermnetnz.org/topics/erythema-infectiosum-fifth-disease-images,https://dermnetnz.org/assets/Uploads/fifth05-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Erythema migrans images,https://dermnetnz.org/topics/erythema-migrans-images,https://dermnetnz.org/assets/Uploads/ecm-16__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Erythema multiforme images,https://dermnetnz.org/topics/erythema-multiforme-images,https://dermnetnz.org/assets/Uploads/emultifor3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Erythema nodosum images,https://dermnetnz.org/topics/erythema-nodosum-images,https://dermnetnz.org/assets/Uploads/en10-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Erythrasma images,https://dermnetnz.org/topics/erythrasma-images,https://dermnetnz.org/assets/Uploads/erythrasma05-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Erythroderma images,https://dermnetnz.org/topics/erythroderma-images,https://dermnetnz.org/assets/Uploads/erythroderma-06-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Extragenital lichen sclerosus images,https://dermnetnz.org/topics/extragenital-lichen-sclerosus-images,https://dermnetnz.org/assets/Uploads/102__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Eyebrow loss images,https://dermnetnz.org/topics/madarosis-images,https://dermnetnz.org/assets/Uploads/madarosis-21__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Eyelash loss images,https://dermnetnz.org/topics/madarosis-images,https://dermnetnz.org/assets/Uploads/madarosis-21__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Eyelid dermatitis images,https://dermnetnz.org/topics/eyelid-dermatitis-images,https://dermnetnz.org/assets/Uploads/eyelid-dermatitis-06-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Fabry disease images,https://dermnetnz.org/topics/angiokeratoma-images,https://dermnetnz.org/assets/Uploads/angiokeratoma-2__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Facial acne images,https://dermnetnz.org/topics/acne-face-images,https://dermnetnz.org/assets/Uploads/Screen-Shot-2018-01-25-at-8__FocusFillWzE1MCwxMTAsIngiLDFd.28.37-PM.png
Facial psoriasis images,https://dermnetnz.org/topics/facial-psoriasis-images,https://dermnetnz.org/assets/Uploads/facial-psoriasis13-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Fibrofolliculomas in Birt–Hogg–Dubé images,https://dermnetnz.org/topics/fibrofolliculomas-in-birthoggdube-images,https://dermnetnz.org/assets/Uploads/birt-hogg-dube-8__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Fifth disease images,https://dermnetnz.org/topics/erythema-infectiosum-fifth-disease-images,https://dermnetnz.org/assets/Uploads/fifth05-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Fishtank granuloma images,https://dermnetnz.org/topics/atypical-mycobacterial-infection-images,https://dermnetnz.org/assets/Uploads/m-marinum-2-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Flexural psoriasis images,https://dermnetnz.org/topics/flexural-psoriasis-images,https://dermnetnz.org/assets/Uploads/psorkai3__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Folliculitis images,https://dermnetnz.org/topics/folliculitis-images,https://dermnetnz.org/assets/Uploads/2650__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Folliculitis keloidalis images,https://dermnetnz.org/topics/folliculitis-keloidalis-images,https://dermnetnz.org/assets/Uploads/3720__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Fordyce angiokeratoma images,https://dermnetnz.org/topics/angiokeratoma-images,https://dermnetnz.org/assets/Uploads/angiokeratoma-2__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Fungal skin infection images,https://dermnetnz.org/image-catalogue/fungal-skin-infection-images,https://dermnetnz.org/assets/Uploads/tinea-barbae001-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Generalised pustular psoriasis images,https://dermnetnz.org/topics/generalised-pustular-psoriasis-images,https://dermnetnz.org/assets/Uploads/gen-pustular-psoriasis-03__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Genital Crohn disease images,https://dermnetnz.org/topics/genital-crohn-disease-images,https://dermnetnz.org/assets/Uploads/genital-crohn-1-s__FocusFillWzE1MCwxMTAsInkiLDM5XQ.jpg
Genital herpes images,https://dermnetnz.org/topics/genital-herpes-images,https://dermnetnz.org/assets/Uploads/hsbuttock2-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Genital lichen planus images,https://dermnetnz.org/images/genital-lichen-planus-images,https://dermnetnz.org/assets/Uploads/2381-s3__FocusFillWzE1MCwxMTAsInkiLDEwXQ.jpg
Genital psoriasis images,https://dermnetnz.org/topics/genital-psoriasis-images,https://dermnetnz.org/assets/Uploads/genital-psoriasis-09-s2__FocusFillWzE1MCwxMTAsInkiLDEyXQ.jpg
